title,description,link,guid
Zumba®,"Sunday, July 30, 2017, 8:30&nbsp;&ndash;&nbsp;9:30am <br/><br/><img src=""http://www.trumba.com/i/DgAsSYik2LD8BBvCTI1qBQf8.jpg"" title=""Zumba®"" alt=""Zumba®"" width=""132"" height=""79"" /><br/><br/>With an infectious blend of Latin and International rhythms and easy to follow moves Zumba&#174; boasts a global following of millions. Why? It&#8217;s fun, it&#8217;s easy, it&#8217;s different, it&#8217;s effective. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone BFit4Life - Dance, Cheer &amp; Fitness on 0415 651 290. <br/><b>Meeting point</b>:&nbsp;Basketball court <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=288809&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Calamvale District Park, Calamvale</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.62119061,153.0391036(Calamvale+District+Park%2c+Calamvale)"" target=""_blank"">Calamvale District Park, 31 Formby Street, Calamvale</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978280,
Zumba®,http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978280,,"With an infectious blend of Latin and International rhythms and easy to follow moves Zumba® boasts a global following of millions. Why? It’s fun, it’s easy, it’s different, it’s effective."
"Foodies aboard - morning ride to Eat Street Markets","Sunday, July 30, 2017, 10:30am&nbsp;&ndash;&nbsp;1:30pm <br/><br/><img src=""http://www.trumba.com/i/DgAGk-JoNbEYe1v-PouFE8tR.jpg"" title=""Foodies aboard - morning ride to Eat Street Markets"" alt=""Foodies aboard - morning ride to Eat Street Markets"" width=""132"" height=""79"" /><br/><br/>A relaxing social ride to Eat Street Markets. Starting at New Farm Park, we ride by the river through Teneriffe and&#160;continue to Newstead House, then out to Eat Street Markets, Hamilton. We stop at the markets to eat and enjoy the festivities, then head back to New Farm Park.<br /> <br /> Presented as part of Council&#8217;s Active and Healthy &amp; Cycling Brisbane programs. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. Just be at the meeting point 15 minutes before the ride starts. Bikes and equipment can be hired for $15 per person per activity but this must be arranged in advance. For more information contact Ross at Brisbane By Bicycle on 0413 253 366. <br/><b>Meeting point</b>:&nbsp;At the rotunda. <br/><b>Requirements</b>:&nbsp;Bike, helmet, water bottle, money for a coffee <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221651&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">New Farm Park, New Farm</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.469046,153.050932(New+Farm+Park%2c+New+Farm)"" target=""_blank"">New Farm Park, 137 Sydney Street, New Farm</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123793136,
"Foodies aboard - morning ride to Eat Street Markets",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123793136,,"A relaxing social ride to Eat Street Markets. Starting at New Farm Park, we ride by the river through Teneriffe and&nbsp;continue to Newstead House, then out to Eat Street Markets, Hamilton. We stop at the markets to eat and enjoy the festivities, then head back to New Farm Park.
 
 Presented as part of Council’s Active and Healthy &amp; Cycling Brisbane programs."
"10 of the best","Monday, July 31, 2017, 6&nbsp;&ndash;&nbsp;7am <br/><br/><img src=""http://www.trumba.com/i/DgC2oJ7pXvOu7nUilfCGeb9l.jpg"" title=""10 of the best"" alt=""10 of the best"" width=""132"" height=""79"" /><br/><br/>Bookings essential. This program combines both strength and cardio exercises providing participants with a highly challenging activity. &#160;This program targets the upper and lower body, concentrating in developing strength and cardiovascular fitness. The exercises are modified to cater for participant&#39;s different fitness levels. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Edwardo at Inclusive Fitness Solutions on 0433 975 766. <br/><b>Meeting point</b>:&nbsp;By the playground, off Sylvan Road <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221684&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Toowong Memorial Park, Toowong</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.479876,152.994272(Toowong+Memorial+Park%2c+Toowong)"" target=""_blank"">Toowong Memorial Park, 65 Sylvan Road, Toowong</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953847,
"10 of the best",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953847,,"Bookings essential. This program combines both strength and cardio exercises providing participants with a highly challenging activity. &nbsp;This program targets the upper and lower body, concentrating in developing strength and cardiovascular fitness. The exercises are modified to cater for participant's different fitness levels."
"Fitness challenge","Monday, July 31, 2017, 6&nbsp;&ndash;&nbsp;7am <br/><br/><img src=""http://www.trumba.com/i/DgAcO0Y-FrxWWsTG8Miinfog.jpg"" title=""Fitness challenge"" alt=""Fitness challenge"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Bootcamp type exercises with an emphasis on cardio fitness and overall body and core strength. &#160;This will include a fitness test at the start, midway and then the finish to monitor your progress. &#160;All fitness levels welcome. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Jen&#39;s Outdoor Gym on 0410 010 316. <br/><b>Meeting point</b>:&nbsp;By the picnic shelter, near the car park. <br/><b>Age</b>:&nbsp;16 years and over <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=632785&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Frew Park, Milton</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.4687,152.999598(Frew+Park%2c+Milton)"" target=""_blank"">Frew Park, 315 Milton Road, Milton</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953920,
"Fitness challenge",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953920,,"Bookings essential. Bootcamp type exercises with an emphasis on cardio fitness and overall body and core strength. &nbsp;This will include a fitness test at the start, midway and then the finish to monitor your progress. &nbsp;All fitness levels welcome."
"Fitness challenge","Monday, July 31, 2017, 7&nbsp;&ndash;&nbsp;8am <br/><br/><img src=""http://www.trumba.com/i/DgBdu60N4D3DLE4bBwkram5j.jpg"" title=""Fitness challenge"" alt=""Fitness challenge"" width=""132"" height=""79"" /><br/><br/>Lose weight, get fit, tone up for a healthier and fitter you. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Fitness 4 U on 0412 552 885. <br/><b>Meeting point</b>:&nbsp;Albert Street gates <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=200265&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">City Botanic Gardens, Brisbane City</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.473798,153.029947(City+Botanic+Gardens%2c+Brisbane+City)"" target=""_blank"">City Botanic Gardens, 147 Alice Street, Brisbane City</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953930,
"Fitness challenge",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953930,,"Lose weight, get fit, tone up for a healthier and fitter you."
"Tai Chi Qigong","Monday, July 31, 2017, 7:30&nbsp;&ndash;&nbsp;8:30am <br/><br/><img src=""http://www.trumba.com/i/DgBtxkqFoKDPcPYvoBD5lL8j.jpg"" title=""Tai Chi Qigong"" alt=""Tai Chi Qigong"" width=""132"" height=""79"" /><br/><br/>This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world&#39;s most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Australian Academy of Tai Chi and Qigong on 07 3358 1955 or visit <a href=""http://www.livingchi.com.au/"" target=""_blank"">www.livingchi.com.au</a> <br/><b>Meeting point</b>:&nbsp;Near the playground <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=626898&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Northshore Riverside Park, Hamilton</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.444691,153.085008(Northshore+Riverside+Park%2c+Hamilton)"" target=""_blank"">Northshore Riverside Park, 305 Macarthur Avenue, Hamilton</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953940,
"Tai Chi Qigong",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953940,,"This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world's most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome."
"Games for pre-schoolers","Monday, July 31, 2017, 9&nbsp;&ndash;&nbsp;9:30am <br/><br/><img src=""http://www.trumba.com/i/DgAQXNCAHLpgy0NZaE1V8n4s.jpg"" title=""Games for pre-schoolers"" alt=""Games for pre-schoolers"" width=""132"" height=""79"" /><br/><br/>Traditional games for children to improve their gross motor skills. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Vanessa at The Extra Mile on 0401 668 434. <br/><b>Meeting point</b>:&nbsp;Next to the playground. <br/><b>Age</b>:&nbsp;2-5 years <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221590&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Clivedon Park, Fig Tree Pocket</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.518214,152.961634(Clivedon+Park%2c+Fig+Tree+Pocket)"" target=""_blank"">Clivedon Park, 62 Terrigal Street, Fig Tree Pocket</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954157,
"Games for pre-schoolers",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954157,,"Traditional games for children to improve their gross motor skills."
"High intensity interval training","Monday, July 31, 2017, 9&nbsp;&ndash;&nbsp;10am <br/><br/><img src=""http://www.trumba.com/i/DgAtLSb0CNM40JxbNjnFihGV.jpg"" title=""High intensity interval training"" alt=""High intensity interval training"" width=""132"" height=""79"" /><br/><br/>Bookings essential. A fitness class that alternates between short periods of your maximum effort followed by recovery. This type of training is suitable for beginners and advanced levels and are a great way to burn calories fast. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Jill at FitLiving on 0431 778 513. <br/><b>Meeting point</b>:&nbsp;Near the playground, off Riding Road <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221621&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Hawthorne Park, Hawthorne</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.46368217,153.0620424(Hawthorne+Park%2c+Hawthorne)"" target=""_blank"">Hawthorne Park, 140 Riding Road, Hawthorne</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953950,
"High intensity interval training",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953950,,"Bookings essential. A fitness class that alternates between short periods of your maximum effort followed by recovery. This type of training is suitable for beginners and advanced levels and are a great way to burn calories fast."
"Mums and bubs soccer (2-3 years)","Monday, July 31, 2017, 9&nbsp;&ndash;&nbsp;9:30am <br/><br/><img src=""http://www.trumba.com/i/DgAjra0KHcn2%2AxvAJJ2N-bHl.jpg"" title=""Mums and bubs soccer (2-3 years)"" alt=""Mums and bubs soccer (2-3 years)"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Fun, safe, soccer games using balls, goals and cones. This is the perfect mix of fun, physical activity and instruction that is sure to please all. Suitable for 2-3 year olds. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book visit <a href=""http://www.gingersport.com.au/active-parks-program"" target=""_blank"">Ginger Sports</a> or for more information phone 3890 3338. <br/><b>Meeting point</b>:&nbsp;Near the playground <br/><b>Requirements</b>:&nbsp;Closed in shoes <br/><b>Age</b>:&nbsp;2-3 years <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221679&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Teralba Park, Everton Park</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.403471,152.980156(Teralba+Park%2c+Everton+Park)"" target=""_blank"">Teralba Park, 120 Pullen Road, Everton Park</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954045,
"Mums and bubs soccer (2-3 years)",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954045,,"Bookings essential. Fun, safe, soccer games using balls, goals and cones. This is the perfect mix of fun, physical activity and instruction that is sure to please all. Suitable for 2-3 year olds."
Pilates,"Monday, July 31, 2017, 9&nbsp;&ndash;&nbsp;10am <br/><br/><img src=""http://www.trumba.com/i/DgDE8WxaO4FAJOiksznXb1aI.jpg"" title=""Pilates"" alt=""Pilates"" width=""132"" height=""79"" /><br/><br/>A beginner to immediate workout combining elements of pilates strengthening, stretching and exercises specially designed to improve posture, reduce stress and tone your body. This workout is suitable for adults of all ages. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Jenny at Ziprfit on 0403 859 013. <br/><b>Meeting point</b>:&nbsp;By the playground on Perth Street <br/><b>Requirements</b>:&nbsp;Yoga mat or towel <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221662&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Perth Street Park, Camp Hill</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.48651,153.073893(Perth+Street+Park%2c+Camp+Hill)"" target=""_blank"">Perth Street Park, 74 Perth Street, Camp Hill</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954179,
Pilates,http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954179,,"A beginner to immediate workout combining elements of pilates strengthening, stretching and exercises specially designed to improve posture, reduce stress and tone your body. This workout is suitable for adults of all ages."
"Fit mums strength and core","Monday, July 31, 2017, 9:15&nbsp;&ndash;&nbsp;10:15am <br/><br/><img src=""http://www.trumba.com/i/DgBU0AqAX643dHIESHzy-adt.jpg"" title=""Fit mums strength and core"" alt=""Fit mums strength and core"" width=""132"" height=""79"" /><br/><br/>An exercise class that includes a mix of cardio, strength and core stability work. Mums, dads and bubs welcome. Bring a towel, no bookings required. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone Debbie at Mums-ercise on 0407 146 605. <br/><b>Meeting point</b>:&nbsp;Near the picnic shelter on Alexandra Drive <br/><b>Requirements</b>:&nbsp;Yoga mat or towel <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221659&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Oriel Park, Ascot</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.4292871732,153.057679781(Oriel+Park%2c+Ascot)"" target=""_blank"">Oriel Park, 14 Alexandra Road, Ascot</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954188,
"Fit mums strength and core",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123954188,,"An exercise class that includes a mix of cardio, strength and core stability work. Mums, dads and bubs welcome. Bring a towel, no bookings required."
